mood,location,latitude,longitude
Positive,United Kingdom,51.5073219,-0.1276474
Positive,Netherlands,52.24253135,5.216244030438073
Positive,Haiti,19.37218875,-72.33465445105234
Positive,Italy,43.8672392,10.2506055
Positive,,,
Positive,,,
Positive,,,
Positive,,,
Positive,Russia,59.9818762,30.21469534732587
Positive,Germany,52.5170365,13.3888599
Positive,Japan,35.6432274,139.7400553
Positive,,,
Positive,,,
Negative,,,
Positive,Israel,31.5313113,34.8667654
Positive,,,
Positive,France,45.7578137,4.8320114
Positive,United States,40.7127281,-74.0060152
Negative,Saudi Arabia,24.8103493,46.7908317
Positive,,,
Negative,Israel,31.5313113,34.8667654
Negative,,,
Positive,United States,40.7644228,-73.9923918
Positive,Bangladesh,23.052694713427393,89.72835797565921
Positive,Israel,31.5313113,34.8667654
Negative,,,
Positive,,,
Positive,,,
Positive,United States,40.7127281,-74.0060152
Positive,,,
Positive,Israel,31.5313113,34.8667654
Positive,Germany,52.5170365,13.3888599
Positive,,,
Positive,Japan,35.6777691,139.7646365
Positive,,,
Positive,Indonesia,-7.54133775,112.50949745736571
Positive,,,
Positive,,,
Positive,Spain,40.4167047,-3.7035825
Positive,,,
Negative,China,31.19767765,121.33448312534463
Positive,India,22.3511148,78.6677428
Negative,Indonesia,-6.1753942,106.827183
Negative,Saudi Arabia,24.8103493,46.7908317
Positive,,,
Negative,,,
Negative,India,22.3511148,78.6677428
Positive,United Kingdom,51.5073219,-0.1276474
Positive,Bulgaria,42.6978634,23.3221789
Positive,,,
Positive,,,
Positive,Japan,35.8616402,139.6457957
Negative,,,
Positive,,,
Negative,,,
Negative,,,
Positive,Japan,35.718123,139.664468
Positive,,,
Positive,Netherlands,51.585618749999995,5.066061908648313
Positive,Slovenia,45.8680612,13.585026
Positive,India,28.6138954,77.2090057
Positive,Indonesia,-8.2094973,114.3737201
Positive,India,19.0759899,72.8773928
Positive,France,45.8992348,6.1288847
Negative,,,
Positive,Turkey,41.0096334,28.9651646
Positive,Canada,49.2846962,-123.097014
Negative,Australia,-37.8142176,144.9631608
Positive,Greece,35.5618774,24.0919486
Negative,Philippines,14.5122681,121.02184696219501
Positive,Japan,35.7354186,139.8815669
Positive,,,
Negative,,,
Positive,,,
Negative,South Korea,37.5666791,126.9782914
Negative,,,
Positive,,,
Negative,Japan,36.5748441,139.2394179
Positive,Portugal,40.0332629,-7.8896263
Negative,,,
Positive,Indonesia,-8.2094973,114.3737201
Positive,,,
Positive,,,
Positive,,,
Negative,,,
Negative,,,
Positive,,,
Positive,Singapore,1.357107,103.8194992
Positive,,,
Positive,,,
Positive,,,
Positive,Saudi Arabia,26.475,50.041667
Positive,,,
Positive,Indonesia,-7.3251774,109.9056063
Positive,,,
Negative,Japan,35.6777691,139.7646365
Positive,,,
Positive,United States,35.1490215,-90.0516285
Positive,Japan,38.2691248,140.8705271
Positive,Ireland,52.865196,-7.9794599
Positive,United Kingdom,51.5073219,-0.1276474
Positive,Japan,35.6828387,139.7594549
Positive,India,26.0642427,74.7012806
Positive,Indonesia,-6.9344694,107.6049539
Positive,,,
Positive,,,
Positive,,,
Negative,,,
Positive,,,
Positive,Italy,43.8672392,10.2506055
Positive,United States,44.4308975,-89.6884637
Positive,Russia,59.9818762,30.21469534732587
Positive,Japan,26.5707754,128.0255901
Positive,,,
Positive,France,48.8566969,2.3514616
Positive,,,
Positive,,,
Positive,India,28.6138954,77.2090057
Negative,India,28.6138954,77.2090057
Positive,,,
Positive,,,
Negative,,,
Positive,India,28.6138954,77.2090057
Negative,,,
Positive,United Kingdom,52.5310214,-1.2649062
Negative,United States,35.1172406,-89.9132695
Positive,India,28.6138954,77.2090057
Positive,,,
Positive,,,
Positive,,,
Positive,,,
Negative,,,
Negative,,,
Positive,,,
Positive,France,48.753554,2.2959423
Positive,Canada,50.5758951,-105.3856943
Positive,,,
Positive,,,
Positive,India,19.0759899,72.8773928
Negative,France,45.8992348,6.1288847
Negative,,,
Negative,South Africa,-25.7459374,28.1879444
Positive,,,
Positive,Japan,37.9160769,139.0365006
Positive,Indonesia,-6.1753942,106.827183
Positive,,,
Positive,,,
Positive,,,
Positive,Indonesia,-7.423477,109.2364168
Positive,,,
Positive,Japan,35.6432274,139.7400553
Positive,United Kingdom,54.7023545,-3.2765753
Positive,United States,37.7790262,-122.419906
Positive,United Kingdom,53.5120412,-2.2434612
Negative,Belgium,50.6402809,4.6667145
Negative,Japan,35.8616402,139.6457957
Positive,,,
Negative,,,
Negative,China,37.4187768,122.62409623065795
Positive,,,
Positive,,,
Negative,United States,29.4246002,-98.4951405
Positive,,,
Positive,Indonesia,-6.96953955,110.37273059515135
Positive,India,28.6138954,77.2090057
Negative,United Kingdom,52.5310214,-1.2649062
Positive,,,
Negative,,,
Positive,,,
Positive,,,
Positive,United Kingdom,53.5120412,-2.2434612
Positive,,,
Positive,India,22.3511148,78.6677428
Negative,United Kingdom,54.7023545,-3.2765753
Positive,,,
Positive,France,49.535,3.83264
Positive,India,19.0759899,72.8773928
Positive,,,
Positive,United States,40.7596198,-111.8867975
Positive,Cyprus,35.1345127,33.9225856
Positive,India,19.0759899,72.8773928
Negative,,,
Positive,Sweden,59.3251172,18.0710935
Negative,United Kingdom,54.7023545,-3.2765753
Positive,,,
Negative,,,
Negative,,,
Negative,,,
Positive,United States,39.7837304,-100.4458825
Negative,,,
Positive,United States,39.7837304,-100.4458825
Negative,,,
Positive,,,
Positive,,,
Positive,,,
Positive,United States,34.2331373,-102.4107493
Positive,United States,34.2331373,-102.4107493
Negative,Argentina,-34.9964963,-64.9672817
Positive,United States,33.4255056,-111.9400091
Positive,,,
Positive,,,
Negative,Argentina,-34.9964963,-64.9672817
Positive,,,
Positive,South Africa,-25.7459374,28.1879444
Positive,,,
Positive,,,
Positive,,,
Positive,Belgium,50.6402809,4.6667145
Positive,,,
Positive,,,
Positive,India,20.84351185,75.52592658756026
Positive,Indonesia,-2.4833826,117.8902853
Positive,South Africa,-25.7459374,28.1879444
Positive,,,
Positive,,,
Positive,,,
Negative,,,
Positive,Switzerland,46.2017559,6.1466014
Positive,,,
Positive,United Arab Emirates,24.0002488,53.9994829
Positive,Germany,52.0746587,9.7232316
Positive,Nepal,27.708317,85.3205817
Negative,India,28.6517178,77.2219388
Positive,,,
Positive,,,
Positive,Japan,35.660175,139.283071
Positive,Japan,43.4519831,142.8197834
Positive,Ukraine,51.20935,33.9548018
Positive,United States,39.1044123,-76.8669233
Positive,Japan,35.609985,140.118126
Negative,United Kingdom,51.5073219,-0.1276474
Positive,,,
Positive,Japan,35.6828387,139.7594549
Positive,,,
Positive,,,
Negative,South Africa,-29.861825,31.009909
Negative,,,
Negative,,,
Positive,,,
Positive,,,
Positive,India,28.6517178,77.2219388
Positive,,,
Positive,,,
Negative,Indonesia,-7.5692462,110.828448
Negative,Taiwan,24.5900785,120.9750434
Positive,Japan,35.660175,139.283071
Positive,United States,37.5318804,-122.2480219
Positive,,,
Positive,,,
Negative,,,
Positive,,,
Negative,,,
Negative,South Africa,-29.861825,31.009909
Positive,,,
Positive,France,44.841225,-0.5800364
Positive,Japan,34.7021912,135.4955866
Positive,India,28.6138954,77.2090057
Positive,India,12.9791198,77.5912997
Negative,India,26.8381,80.9346001
Positive,United Kingdom,56.4707124,-3.070224241757583
Positive,France,49.535,3.83264
Positive,India,22.3511148,78.6677428
Negative,France,50.9378824,1.8586449
Positive,India,19.0759899,72.8773928
Positive,,,
Positive,,,
Positive,,,
Negative,United Kingdom,51.50647145,-0.23225648713414787
Positive,South Africa,-25.7459374,28.1879444
Negative,,,
Positive,Netherlands,52.5001698,5.7480821
Negative,India,28.5707841,77.3271074
Negative,,,
Positive,Netherlands,52.5001698,5.7480821
Positive,,,
Positive,Spain,36.5387779,-4.6233348
Positive,,,
Positive,,,
Positive,Japan,36.5748441,139.2394179
Positive,,,
Positive,South Africa,-29.861825,31.009909
Positive,Kenya,-1.3031689499999999,36.826061224105075
Positive,,,
Negative,,,
Positive,,,
Positive,,,
Positive,,,
Negative,United States,31.8160381,-99.5120986
Positive,Germany,49.41513255,9.171348582098581
Positive,,,
Positive,,,
Positive,Germany,52.5170365,13.3888599
Negative,United States,31.8160381,-99.5120986
Positive,Israel,32.0852997,34.7818064
Positive,,,
Positive,,,
Positive,,,
Positive,,,
Negative,,,
Positive,Switzerland,46.2017559,6.1466014
Positive,,,
Positive,Japan,32.522256,130.029398
Positive,Japan,35.609985,140.118126
Positive,India,20.2667774,85.8435592
Positive,France,43.2961743,5.3699525
Positive,,,
Negative,Japan,35.5707461,139.6535306
Negative,,,
Positive,,,
Positive,United States,39.7837304,-100.4458825
Positive,United States,39.7837304,-100.4458825
Positive,,,
Positive,Japan,35.6828387,139.7594549
Positive,Spain,42.63414505,-5.971415104539984
Positive,,,
Positive,,,
Positive,,,
Positive,,,
Negative,Indonesia,-2.4833826,117.8902853
Positive,United Kingdom,54.7023545,-3.2765753
Positive,,,
Positive,Belgium,50.6402809,4.6667145
Positive,Belgium,50.6402809,4.6667145
Positive,Belgium,50.6402809,4.6667145
Positive,France,44.0854799,6.2173908
Positive,Japan,35.6828387,139.7594549
Positive,Netherlands,52.3727598,4.8936041
Negative,,,
Positive,,,
Negative,United States,42.6410472,-70.6165149
Positive,Japan,35.7008465,139.7421598
Positive,,,
Positive,,,
Negative,,,
Positive,Switzerland,47.4250593,9.3765878
Negative,,,
Positive,,,
Positive,,,
Negative,Germany,51.0834196,10.4234469
Positive,,,
Positive,France,48.8601087,2.3031375
Positive,,,
Negative,,,
Positive,,,
Negative,,,
Positive,,,
Positive,,,
Positive,,,
Positive,Ireland,52.865196,-7.9794599
Positive,,,
Positive,Indonesia,-7.3578475999999995,107.77146710482089
Positive,Greece,35.5618774,24.0919486
Positive,South Africa,-33.9617051,25.6207519
Positive,Japan,35.6645956,139.6987107
Positive,,,
Positive,Switzerland,47.5581077,7.5878261
Positive,,,
Positive,India,26.8381,80.9346001
Negative,,,
Negative,,,
Negative,,,
Positive,Indonesia,-6.9413017,107.688011
Positive,,,
Negative,Japan,34.3980242,132.476095
Positive,United States,32.9170496,-117.0650002
Positive,,,
Positive,United States,32.9170496,-117.0650002
Positive,,,
Negative,Spain,39.3260685,-4.8379791
Negative,Spain,39.3260685,-4.8379791
Positive,India,22.3511148,78.6677428
Positive,,,
Positive,,,
Negative,,,
Positive,,,
Negative,,,
Positive,Angola,-11.8775768,17.5691241
Positive,,,
Negative,,,
Negative,,,
Positive,Belgium,50.4525367,3.9808605
Negative,,,
Negative,,,
Positive,Iran,32.6475314,54.5643516
Negative,United States,30.2711286,-97.7436995
Negative,Indonesia,-7.5692462,110.828448
Negative,,,
Negative,,,
Negative,Indonesia,-7.6196965,111.06980026754411
Positive,India,27.5541146,78.60078640304634
Positive,Greece,35.5618774,24.0919486
